0x1a	0x139
0x25d6	0x25f1
0x25e9	0x70794
0x2600	0x261c
0x261f	0x2626
0x2677	0x707bc
0x2793	0x279a
0x279d	0x27a5
0x27ad	0x27b5
0x27bd	0x27c5
0x296a	0x2971
0x2972	0x297b
0x297e	0x298a
0x3377	0x337f
0xec40	0xab1
0x16440	0x2112
0x16e40	0x2159
0x17840	0x21cd
0x18240	0x2214
0x1a040	0x23e3
0x1aa40	0x25d5
0x1b440	0x261c
0x39147	0x70ae5
0x39268	0x70b0d
0x39294	0x70b35
0x392e8	0x70b5d
0x39377	0x70b85
0x393a3	0x70bad
0x39418	0x70bd5
0x39444	0x70bfd
0x39470	0x70c25
0x394c0	0x70c4d
0x394ec	0x70c75
0x39540	0x70c9d
0x3956c	0x70cc5
0x395e1	0x70ced
0x3964f	0x70d15
0x39777	0x70d3d
0xe1bba	0x12adba
0xe25ba	0x1131ba
0xe2fba	0x113bba
0xe39ba	0x1145ba
0xe43ba	0x114fba
0xe4dba	0x1159ba
0xe57ba	0x1163ba
0xe61ba	0x10ffba
0xe6bba	0x1109ba
0xe75ba	0x1113ba
0xe7fba	0x111dba
0xe89ba	0x1127ba
0xe93ba	0x10cdba
0xe9dba	0x10d7ba
0xea7ba	0x10e1ba
0xeb1ba	0x10ebba
0xebbba	0x10f5ba
0xec5ba	0x109bba
0xecfba	0x10a5ba
0xed9ba	0x10afba
0xee3ba	0x10b9ba
0xeedba	0x10c3ba
0xef7ba	0x105fba
0xf01ba	0x1069ba
0xf0bba	0x1073ba
0xf15ba	0x107dba
0xf1fba	0x1087ba
0xf29ba	0x1091ba
0xf33ba	0x102dba
0xf3dba	0x1037ba
0xf47ba	0x1041ba
0xf51ba	0x104bba
0xf5bba	0x1055ba
0xf65ba	0xffbba
0xf6fba	0x1005ba
0xf79ba	0x100fba
0xf83ba	0x1019ba
0xf8dba	0x1023ba
0xf97ba	0xfc9ba
0xfa1ba	0xfd3ba
0xfabba	0xfddba
0xfb5ba	0xfe7ba
0xfbfba	0xff1ba
0x20eb0x2195	0x7049f0x20eb
0x21a60x2195	0x7049f0x21a6
0x23bc0x2195	0x7049f0x23bc
0x1a500xcdd	0x472c70x1a50
0xc110xc4c	0x472540xc11
0x2838V0x2b7	0x283fB0x2b7
0xf640V0x2c6	0x70a2aB0x2c6
0x28a0V0x342	0x28a7B0x342
0x28b6V0x342	0x708c3B0x342
0x11e40V0x3be	0x70a74B0x3be
0x2880V0x4bd	0x2887B0x4bd
0x2838V0x5c0	0x283fB0x5c0
0x2838V0x620	0x283fB0x620
0x34c3V0x336f	0x7095eB0x336f
0x2880V0x1d16	0x2887B0x1d16
0x11e40V0x2280	0x70a74B0x2280
0x34d5V0x279a	0x70980B0x279a
0x34d5V0x27a5	0x70980B0x27a5
0x34d5V0x27b5	0x70980B0x27b5
0x272eV0x2971	0x70828B0x2971
0x271dV0x297b	0x70803B0x297b
0x20ddV0x20fc	0x20e5B0x20fc
0x20e1V0x20fc	0x2338B0x20fc
0x20ddV0x21b7	0x20e5B0x21b7
0x20e1V0x21b7	0x2338B0x21b7
0x20ddV0x23cd	0x20e5B0x23cd
0x20e1V0x23cd	0x2338B0x23cd
0x20ddV0x25bf	0x20e5B0x25bf
0x20e1V0x25bf	0x2338B0x25bf
0x281cV0x277	0x2823B0x277
0x2826V0x277	0x70873B0x277
0x34e3V0x2823V0x277	0x709a2B0x2823B0x277
0x2851V0x2ed	0x2858B0x2ed
0x2862V0x2ed	0x70899B0x2ed
0x34d5V0x2858V0x2ed	0x70980B0x2858B0x2ed
0x2851V0x322	0x2858B0x322
0x2862V0x322	0x70899B0x322
0x34d5V0x2858V0x322	0x70980B0x2858B0x322
0x2ae8V0x362	0x2aefB0x362
0x2af2V0x362	0x2afaB0x362
0x2b02V0x362	0x2b0aB0x362
0x2b1eV0x362	0x2b25B0x362
0x2b37V0x362	0x2b3eB0x362
0x3507V0x2aefV0x362	0x709e6B0x2aefB0x362
0x3507V0x2afaV0x362	0x709e6B0x2afaB0x362
0x28c7V0x382	0x28ceB0x382
0x28cfV0x382	0x708e9B0x382
0x272eV0x28ceV0x382	0x70828B0x28ceB0x382
0x2851V0x3af	0x2858B0x3af
0x2862V0x3af	0x70899B0x3af
0x34d5V0x2858V0x3af	0x70980B0x2858B0x3af
0x2740V0x3cf	0x2747B0x3cf
0x2748V0x3cf	0x7084dB0x3cf
0x26c0V0x2747V0x3cf	0x707deB0x2747B0x3cf
0x2740V0x411	0x2747B0x411
0x2748V0x411	0x7084dB0x411
0x26c0V0x2747V0x411	0x707deB0x2747B0x411
0x102fV0x455	0x54ceaB0x455
0xff9V0x455	0x1000B0x455
0x100aV0x455	0x1011B0x455
0x101cV0x455	0x1037B0x455
0x1056V0x455	0x1067B0x455
0x1063V0x455	0x2bcfB0x455
0x1079V0x455	0x1081B0x455
0x1088V0x455	0x1095B0x455
0x17bdV0x109f	0x6282dB0x109f
0x22e1V0x17aeV0x109f	0x705a7B0x17aeB0x109f
0x22e5V0x17aeV0x109f	0x249aB0x17aeB0x109f
0x28c7V0x49d	0x28ceB0x49d
0x28cfV0x49d	0x708e9B0x49d
0x272eV0x28ceV0x49d	0x70828B0x28ceB0x49d
0x115eV0x4cc	0x62627B0x4cc
0x2458V0x114fV0x4cc	0x706d8B0x114fB0x4cc
0x245cV0x114fV0x4cc	0x2ca9B0x114fB0x4cc
0x2227V0x114fV0x4cc	0x704e9B0x114fB0x4cc
0x222cV0x114fV0x4cc	0x243dB0x114fB0x4cc
0x2445V0x114fV0x4cc	0x2460B0x114fB0x4cc
0x246aV0x114fV0x4cc	0x246fB0x114fB0x4cc
0x2851V0x4f2	0x2858B0x4f2
0x2862V0x4f2	0x70899B0x4f2
0x34d5V0x2858V0x4f2	0x70980B0x2858B0x4f2
0x27e2V0x573	0x27e9B0x573
0x27eaV0x573	0x27f3B0x573
0x27fdV0x573	0x2809B0x573
0x26c0V0x27e9V0x573	0x707deB0x27e9B0x573
0x26c0V0x27f3V0x573	0x707deB0x27f3B0x573
0x293bV0x593	0x2942B0x593
0x2945V0x593	0x294dB0x593
0x2955V0x593	0x7090fB0x593
0x3507V0x2942V0x593	0x709e6B0x2942B0x593
0x34f8V0x294dV0x593	0x709c4B0x294dB0x593
0x293bV0x5e0	0x2942B0x5e0
0x2945V0x5e0	0x294dB0x5e0
0x2955V0x5e0	0x7090fB0x5e0
0x3507V0x2942V0x5e0	0x709e6B0x2942B0x5e0
0x34f8V0x294dV0x5e0	0x709c4B0x294dB0x5e0
0x29f9V0x600	0x2a00B0x600
0x2a03V0x600	0x2a0bB0x600
0x2a13V0x600	0x2a1bB0x600
0x2a35V0x600	0x2a3cB0x600
0x2a3dV0x600	0x2a48B0x600
0x3507V0x2a00V0x600	0x709e6B0x2a00B0x600
0x34f8V0x2a0bV0x600	0x709c4B0x2a0bB0x600
0x26e8V0x2a3cV0x600	0x26efB0x2a3cB0x600
0x26ffV0x2a3cV0x600	0x2707B0x2a3cB0x600
0x26d2V0x2a3cV0x600	0x26d9B0x2a3cB0x600
0x17bdV0x62f	0x6282dB0x62f
0x22e1V0x17aeV0x62f	0x705a7B0x17aeB0x62f
0x22e5V0x17aeV0x62f	0x249aB0x17aeB0x62f
0x2a6aV0x640	0x2a71B0x640
0x2a72V0x640	0x2a7bB0x640
0x2a83V0x640	0x2a8bB0x640
0x2aa5V0x640	0x2aacB0x640
0x2aadV0x640	0x2ab8B0x640
0x2ac4V0x640	0x2accB0x640
0x272eV0x2a71V0x640	0x70828B0x2a71B0x640
0x34f8V0x2a7bV0x640	0x709c4B0x2a7bB0x640
0x26e8V0x2aacV0x640	0x26efB0x2aacB0x640
0x26ffV0x2aacV0x640	0x2707B0x2aacB0x640
0x26d2V0x2aacV0x640	0x26d9B0x2aacB0x640
0x34e3V0x2ab8V0x640	0x709a2B0x2ab8B0x640
0x2851V0x660	0x2858B0x660
0x2862V0x660	0x70899B0x660
0x34d5V0x2858V0x660	0x70980B0x2858B0x660
0x2740V0x680	0x2747B0x680
0x2748V0x680	0x7084dB0x680
0x26c0V0x2747V0x680	0x707deB0x2747B0x680
0x275cV0x6c2	0x2763B0x6c2
0x2764V0x6c2	0x276dB0x6c2
0x2770V0x6c2	0x277cB0x6c2
0x26c0V0x2763V0x6c2	0x707deB0x2763B0x6c2
0x26c0V0x276dV0x6c2	0x707deB0x276dB0x6c2
0x29a8V0x704	0x29afB0x704
0x29b0V0x704	0x29b9B0x704
0x29bcV0x704	0x29c8B0x704
0x29d2V0x704	0x29deB0x704
0x272eV0x29afV0x704	0x70828B0x29afB0x704
0x271dV0x29b9V0x704	0x70803B0x29b9B0x704
0x26c0V0x29c8V0x704	0x707deB0x29c8B0x704
0x2740V0x75a	0x2747B0x75a
0x2748V0x75a	0x7084dB0x75a
0x26c0V0x2747V0x75a	0x707deB0x2747B0x75a
0x2c3dV0x7ff	0x2c49B0x7ff
0x3442V0x895	0x344fB0x895
0x3474V0xb59	0x347cB0xb59
0x34c3V0x345aV0xb59	0x7095eB0x345aB0xb59
0x2c3dV0x1d9a	0x2c49B0x1d9a
0x3442V0x1e31	0x344fB0x1e31
0x2379V0x2159	0x70666B0x2159
0x19640V0x2159	0x23acB0x2159
0x234bV0x2159	0x2357B0x2159
0x2359V0x2159	0x2365B0x2159
0x2366V0x2159	0x2381B0x2159
0x2390V0x2159	0x23acB0x2159
0x23adV0x2159	0x23b4B0x2159
0x23b5V0x2159	0x21920x233eB0x2159
0x2350V0x2159	0x2357B0x2159
0x18c40V0x2159	0x2365B0x2159
0x233e0x2195V0x2159	0x7049f0x233eB0x2159
0x20ddV0x234fV0x2159	0x20e5B0x234fB0x2159
0x20e1V0x234fV0x2159	0x2338B0x234fB0x2159
0x28e6V0x256	0x28edB0x256
0x28eeV0x256	0x28f7B0x256
0x2911V0x256	0x2918B0x256
0x2919V0x256	0x2924B0x256
0x272eV0x28edV0x256	0x70828B0x28edB0x256
0x26e8V0x2918V0x256	0x26efB0x2918B0x256
0x26ffV0x2918V0x256	0x2707B0x2918B0x256
0x26d2V0x2918V0x256	0x26d9B0x2918B0x256
0x28e6V0x73b	0x28edB0x73b
0x28eeV0x73b	0x28f7B0x73b
0x2911V0x73b	0x2918B0x73b
0x2919V0x73b	0x2924B0x73b
0x272eV0x28edV0x73b	0x70828B0x28edB0x73b
0x26e8V0x2918V0x73b	0x26efB0x2918B0x73b
0x26ffV0x2918V0x73b	0x2707B0x2918B0x73b
0x26d2V0x2918V0x73b	0x26d9B0x2918B0x73b
0x2326V0x2071	0x70640B0x2071
0x24fcV0x2323V0x2071	0x25a4B0x2323B0x2071
0x25aaV0x2323V0x2071	0x7076fB0x2323B0x2071
0x2533V0x2323V0x2071	0x2538B0x2323B0x2071
0x2563V0x2323V0x2071	0x2568B0x2323B0x2071
0x25a0V0x2323V0x2071	0x7074aB0x2323B0x2071
0x2516V0x2323V0x2071	0x251bB0x2323B0x2071
0x921V0x286	0x39859B0x286
0x93bV0x286	0x39881B0x286
0xd840V0x286	0x95cB0x286
0x8ebV0x286	0x8f2B0x286
0x8fcV0x286	0x903B0x286
0x90eV0x286	0x929B0x286
0x937V0x286	0x93fB0x286
0x954V0x286	0x95cB0x286
0x985V0x286	0x398a3B0x286
0x47150V0x286	0x70d65B0x286
0xc90V0x30d	0x47277B0x30d
0xc5aV0x30d	0xc61B0x30d
0xc6bV0x30d	0xc72B0x30d
0xc7dV0x30d	0xc98B0x30d
0xc99V0x30d	0xca2B0x30d
0x2042V0xc98V0x30d	0x204bB0xc98B0x30d
0x2064V0xc98V0x30d	0x70404B0xc98B0x30d
0x2068V0xc98V0x30d	0x323fB0xc98B0x30d
0x2000V0xc98V0x30d	0x2009B0xc98B0x30d
0x2005V0xc98V0x30d	0x2b9fB0xc98B0x30d
0x2021V0xc98V0x30d	0x2046B0xc98B0x30d
0x2ba4V0xc98V0x30d	0x2bb1B0xc98B0x30d
0x15a40V0xc98V0x30d	0x204bB0xc98B0x30d
0x2051V0xc98V0x30d	0x206cB0xc98B0x30d
0x1c840V0x2b9fV0xc98V0x30d	0x70ac0B0x2b9fB0xc98B0x30d
0x1be40V0x2b9fV0xc98V0x30d	0x3491B0x2b9fB0xc98B0x30d
0x34aeV0x2b9fV0xc98V0x30d	0x70939B0x2b9fB0xc98B0x30d
0x3496V0x2b9fV0xc98V0x30d	0x34a9B0x2b9fB0xc98B0x30d
0x34a5V0x2b9fV0xc98V0x30d	0x3491B0x2b9fB0xc98B0x30d
0xcd4V0x331	0x4729fB0x331
0xcd8V0x331	0x3320B0x331
0xca5V0x331	0xcacB0x331
0xcc1V0x331	0xcdc0xca4B0x331
0xca40xcddV0x331	0x472c70xca4B0x331
0xd8aV0x371	0x47312B0x371
0x10a40V0x371	0xdbdB0x371
0x11440V0x371	0x70a4eB0x371
0xd5cV0x371	0xd68B0x371
0xd6aV0x371	0xd76B0x371
0xd77V0x371	0xd92B0x371
0xda1V0x371	0xdbdB0x371
0xdbeV0x371	0xdc5B0x371
0xdc6V0x371	0xdcdB0x371
0xe27V0x371	0xe31B0x371
0xe34V0x371	0x4733aB0x371
0xd61V0x371	0xd68B0x371
0x10040V0x371	0xd76B0x371
0xc4cV0xdcdV0x371	0x472540xc4bB0xdcdB0x371
0x20ddV0xd60V0x371	0x20e5B0xd60B0x371
0x20e1V0xd60V0x371	0x2338B0xd60B0x371
0x1103V0x4ac	0x54d12B0x4ac
0x10cdV0x4ac	0x10d4B0x4ac
0x10deV0x4ac	0x10e5B0x4ac
0x10f0V0x4ac	0x110bB0x4ac
0x1145V0x4ac	0x54d3aB0x4ac
0x625e7V0x4ac	0x70da9B0x4ac
0x1183V0x39498	0x6264dB0x39498
0x2233V0x1174V0x39498	0x7050fB0x1174B0x39498
0x11e8V0x582	0x62673B0x582
0x11b2V0x582	0x11b9B0x582
0x11c3V0x582	0x11caB0x582
0x11d5V0x582	0x11f0B0x582
0x122fV0x582	0x123eB0x582
0x123aV0x582	0x2c07B0x582
0x1250V0x582	0x1258B0x582
0x125fV0x582	0x126cB0x582
0x1bb8V0x6d1	0x702a2B0x6d1
0x1b82V0x6d1	0x1b89B0x6d1
0x1b93V0x6d1	0x1b9aB0x6d1
0x1ba5V0x6d1	0x1bc0B0x6d1
0x1bdfV0x6d1	0x1becB0x6d1
0x1bfeV0x6d1	0x1c06B0x6d1
0x1c0dV0x6d1	0x702caB0x6d1
0x1c2fV0x713	0x1c36B0x713
0x1c3aV0x713	0x1c43B0x713
0x1c83V0x713	0x1c88B0x713
0x1c8eV0x713	0x1c93B0x713
0x1cd0V0x713	0x1cd9B0x713
0x2257V0x1c93V0x713	0x225fB0x1c93B0x713
0x1183V0x47208	0x6264dB0x47208
0x2233V0x1174V0x47208	0x7050fB0x1174B0x47208
0x1183V0x628f1	0x6264dB0x628f1
0x2233V0x1174V0x628f1	0x7050fB0x1174B0x628f1
0x2306V0x1d25	0x705f2B0x1d25
0x230aV0x1d25	0x2e90B0x1d25
0x22f3V0x1d25	0x705ccB0x1d25
0x2311V0x1f76	0x7061aB0x1f76
0x24a1V0x230eV0x1f76	0x24aaB0x230eB0x1f76
0x24abV0x230eV0x1f76	0x24e0B0x230eB0x1f76
0x24e4V0x230eV0x1f76	0x70725B0x230eB0x1f76
0x24dcV0x230eV0x1f76	0x70700B0x230eB0x1f76
0x1183V0x9b8	0x6264dB0x9b8
0x2233V0x1174V0x9b8	0x7050fB0x1174B0x9b8
0xe95V0x3de	0x47360B0x3de
0x1183V0xe92V0x3de	0x6264dB0xe92B0x3de
0x2233V0x1174V0xe92V0x3de	0x7050fB0x1174B0xe92B0x3de
0xeecV0x420	0x47385B0x420
0xf20V0x420	0x473adB0x420
0xf24V0x420	0x2fbaB0x420
0xeb6V0x420	0xebdB0x420
0xec7V0x420	0xeceB0x420
0xed9V0x420	0xef4B0x420
0xef5V0x420	0xf0cB0x420
0xf0dV0x420	0xf28B0x420
0xf29V0x420	0xf40B0x420
0xf66V0x420	0x473d5B0x420
0x54c82V0x420	0x70d87B0x420
0x1183V0xef4V0x420	0x6264dB0xef4B0x420
0x2233V0x1174V0xef4V0x420	0x7050fB0x1174B0xef4B0x420
0x17f1V0x64f	0x62852B0x64f
0x1814V0x64f	0x6287aB0x64f
0x18b8V0x64f	0x628a2B0x64f
0x18bcV0x64f	0x312dB0x64f
0x18f1V0x64f	0x1902B0x64f
0x199dV0x64f	0x19c2B0x64f
0x19beV0x64f	0x19c7B0x64f
0x17c6V0x64f	0x17ddB0x64f
0x17deV0x64f	0x17f9B0x64f
0x1801V0x64f	0x181cB0x64f
0x1836V0x64f	0x183fB0x64f
0x184dV0x64f	0x1858B0x64f
0x189eV0x64f	0x18a3B0x64f
0x18a5V0x64f	0x18c0B0x64f
0x18cfV0x64f	0x1939B0x64f
0x1958V0x64f	0x1969B0x64f
0x1914V0x64f	0x191cB0x64f
0x1923V0x64f	0x1930B0x64f
0x1935V0x64f	0x1a16B0x64f
0x1a2eV0x64f	0x1a3aB0x64f
0x197bV0x64f	0x1983B0x64f
0x198dV0x64f	0x1994B0x64f
0x1995V0x64f	0x1a16B0x64f
0x14640V0x64f	0x19c7B0x64f
0x19f9V0x64f	0x1a03B0x64f
0x19ffV0x64f	0x2c76B0x64f
0x1a12V0x64f	0x628caB0x64f
0x2c85V0x64f	0x2c95B0x64f
0x15040V0x64f	0x70a99B0x64f
0x13c40V0x64f	0x1994B0x64f
0x1c840V0x2c76V0x64f	0x70ac0B0x2c76B0x64f
0x1be40V0x2c76V0x64f	0x3491B0x2c76B0x64f
0x34aeV0x2c76V0x64f	0x70939B0x2c76B0x64f
0x3496V0x2c76V0x64f	0x34a9B0x2c76B0x64f
0x34a5V0x2c76V0x64f	0x3491B0x2c76B0x64f
0x2c60V0x18d3V0x64f	0x2c6dB0x18d3B0x64f
0x2c60V0x1939V0x64f	0x2c6dB0x1939B0x64f
0x3474V0x1a16V0x64f	0x347cB0x1a16B0x64f
0x34c3V0x345aV0x1a16V0x64f	0x7095eB0x345aB0x1a16B0x64f
0x1183V0x17c5V0x64f	0x6264dB0x17c5B0x64f
0x2233V0x1174V0x17c5V0x64f	0x7050fB0x1174B0x17c5B0x64f
0x1ac1V0x68f	0x6293dB0x68f
0x1af6V0x68f	0x62965B0x68f
0x1afaV0x68f	0x2da5B0x68f
0x1b1dV0x68f	0x6298dB0x68f
0x1b21V0x68f	0x31bcB0x68f
0x1a8bV0x68f	0x1a92B0x68f
0x1a9cV0x68f	0x1aa3B0x68f
0x1aaeV0x68f	0x1ac9B0x68f
0x1acaV0x68f	0x1ae1B0x68f
0x1ae3V0x68f	0x1afeB0x68f
0x1b01V0x68f	0x1b08B0x68f
0x1b0aV0x68f	0x1b25B0x68f
0x1b26V0x68f	0x1b3dB0x68f
0x1b63V0x68f	0x629b5B0x68f
0x70262V0x68f	0x70dcbB0x68f
0x1183V0x1ac9V0x68f	0x6264dB0x1ac9B0x68f
0x2233V0x1174V0x1ac9V0x68f	0x7050fB0x1174B0x1ac9B0x68f
0x1387V0x60f	0x626ebB0x60f
0x13aaV0x60f	0x62713B0x60f
0x13dfV0x60f	0x6273bB0x60f
0x13e3V0x60f	0x2ec7B0x60f
0x14c9V0x60f	0x14d7B0x60f
0x1506V0x60f	0x62789B0x60f
0x150aV0x60f	0x31f3B0x60f
0x152dV0x60f	0x627b1B0x60f
0x1531V0x60f	0x30c1B0x60f
0x15f0V0x60f	0x15feB0x60f
0x161cV0x60f	0x1631B0x60f
0x1624V0x60f	0x162cB0x60f
0x16bdV0x60f	0x16cbB0x60f
0x1795V0x60f	0x62803B0x60f
0x135cV0x60f	0x1373B0x60f
0x1374V0x60f	0x138fB0x60f
0x1397V0x60f	0x13b2B0x60f
0x13ccV0x60f	0x13e7B0x60f
0x13eaV0x60f	0x13f3B0x60f
0x1401V0x60f	0x140cB0x60f
0x1425V0x60f	0x142cB0x60f
0x1467V0x60f	0x146cB0x60f
0x1472V0x60f	0x1477B0x60f
0x14bdV0x60f	0x14c2B0x60f
0x14c5V0x60f	0x14e0B0x60f
0x14ebV0x60f	0x14f0B0x60f
0x14dcV0x60f	0x62763B0x60f
0x14f3V0x60f	0x150eB0x60f
0x150fV0x60f	0x1518B0x60f
0x151aV0x60f	0x1535B0x60f
0x153fV0x60f	0x1544B0x60f
0x1547V0x60f	0x15a5B0x60f
0x15bfV0x60f	0x15caB0x60f
0x15a1V0x60f	0x1607B0x60f
0x1611V0x60f	0x1616B0x60f
0x15d4V0x60f	0x1607B0x60f
0x12840V0x60f	0x1607B0x60f
0x1618V0x60f	0x16d4B0x60f
0x170eV0x60f	0x1713B0x60f
0x1675V0x60f	0x1683B0x60f
0x16a1V0x60f	0x16d4B0x60f
0x13240V0x60f	0x16d4B0x60f
0x1789V0x60f	0x178eB0x60f
0x1791V0x60f	0x627d9B0x60f
0x1589V0x60f	0x1598B0x60f
0x2257V0x150eV0x60f	0x225fB0x150eB0x60f
0x3474V0x15d8V0x60f	0x347cB0x15d8B0x60f
0x34c3V0x345aV0x15d8V0x60f	0x7095eB0x345aB0x15d8B0x60f
0x3474V0x16a5V0x60f	0x347cB0x16a5B0x60f
0x34c3V0x345aV0x16a5V0x60f	0x7095eB0x345aB0x16a5B0x60f
0x3474V0x1631V0x60f	0x347cB0x1631B0x60f
0x34c3V0x345aV0x1631V0x60f	0x7095eB0x345aB0x1631B0x60f
0x3474V0x154bV0x60f	0x347cB0x154bB0x60f
0x34c3V0x345aV0x154bV0x60f	0x7095eB0x345aB0x154bB0x60f
0x1183V0x135bV0x60f	0x6264dB0x135bB0x60f
0x2233V0x1174V0x135bV0x60f	0x7050fB0x1174B0x135bB0x60f
0x17f1V0x14c9V0x60f	0x62852B0x14c9B0x60f
0x1814V0x14c9V0x60f	0x6287aB0x14c9B0x60f
