0x0	0xc
0x1b53B0x54c	0x1b62B0x54c
0x1960B0x1b66B0x54c	0x1973B0x1b66B0x54c
0x1960B0x1b6fB0x54c	0x1973B0x1b6fB0x54c
0x1abdB0x59d	0x1acbB0x59d
0x1960B0x1acfB0x59d	0x1973B0x1acfB0x59d
0x5b0B0x26f	0x5c6B0x26f
0xb04B0x3aa	0xb1aB0x3aa
0xb31B0x3aa	0xb40B0x3aa
0xea7B0x4b7	0xebcB0x4b7
0xecaB0x4b7	0xecfB0x4b7
0xed3B0x4b7	0xeecB0x4b7
0xfbfB0x500	0xfd5B0x500
0x6760x60dB0x29a	0x68a0x60dB0x29a
0x64d0x60dB0x29a	0x6550x60dB0x29a
0x6460x60dB0x29a	0x64d0x60dB0x29a
0x6760xdffB0x479	0x68a0xdffB0x479
0x64d0xdffB0x479	0x6550xdffB0x479
0x6460xdffB0x479	0x64d0xdffB0x479
0x17b4B0x153a	0x17b9B0x153a
0x181bB0x153a	0x1837B0x153a
0x185dB0x153a	0x1868B0x153a
0x18afB0x153a	0x18b7B0x153a
0x18caB0x153a	0x18cfB0x153a
0x19faB0x1cf7B0x153a	0x1a03B0x1cf7B0x153a
0x19e2B0x1cf7B0x153a	0x19ebB0x1cf7B0x153a
0x1d13B0x18b7B0x153a	0x1d21B0x18b7B0x153a
0x1b25B0x1d25B0x18b7B0x153a	0x1b2fB0x1d25B0x18b7B0x153a
0x1929B0x17a2B0x153a	0x1958B0x17a2B0x153a
0x17b4B0x176d	0x17b9B0x176d
0x181bB0x176d	0x1837B0x176d
0x185dB0x176d	0x1868B0x176d
0x18afB0x176d	0x18b7B0x176d
0x18caB0x176d	0x18cfB0x176d
0x19faB0x1cf7B0x176d	0x1a03B0x1cf7B0x176d
0x19e2B0x1cf7B0x176d	0x19ebB0x1cf7B0x176d
0x1d13B0x18b7B0x176d	0x1d21B0x18b7B0x176d
0x1b25B0x1d25B0x18b7B0x176d	0x1b2fB0x1d25B0x18b7B0x176d
0x1929B0x17a2B0x176d	0x1958B0x17a2B0x176d
0xbc9B0x3bd	0xbddB0x3bd
0xc24B0x3bd	0xc33B0x3bd
0xc4aB0x3bd	0xc7dB0x3bd
0xc90B0x3bd	0xc96B0x3bd
0x11caB0x585	0x11e2B0x585
0x11f9B0x585	0x122cB0x585
0x12b9B0x585	0x12bfB0x585
0x122cB0x585	0x1289B0x585
0x1cdeB0x1292B0x585	0x1cecB0x1292B0x585
0x107bB0x534	0x10dbB0x534
0x1cdeB0x10e4B0x534	0x1cecB0x10e4B0x534
