0x0	0xd
0x10daB0xca4B0xd37B0x11b	0x10fcB0xca4B0xd37B0x11b
0x1179B0xfa3B0x101eB0x7c40x11b	0x1182B0xfa3B0x101eB0x7c40x11b
0x1161B0xfa3B0x101eB0x7c40x11b	0x116aB0xfa3B0x101eB0x7c40x11b
0x1179B0xfa3B0xfebB0x93e0x884	0x1182B0xfa3B0xfebB0x93e0x884
0x1161B0xfa3B0xfebB0x93e0x884	0x116aB0xfa3B0xfebB0x93e0x884
0x166B0xdb	0x178B0xdb
0x1179B0xfa3B0x101eB0x182B0xdb	0x1182B0xfa3B0x101eB0x182B0xdb
0x1161B0xfa3B0x101eB0x182B0xdb	0x116aB0xfa3B0x101eB0x182B0xdb
0xd87B0xf5	0xd99B0xf5
0xdb7B0xf5	0xdd0B0xf5
0xddfB0xf5	0xdf1B0xf5
0x11d1B0xd9cB0xf5	0x11e2B0xd9cB0xf5
0x11d1B0xda7B0xf5	0x11e2B0xda7B0xf5
0xc7aB0xdf4B0xf5	0xc87B0xdf4B0xf5
0xc8aB0xdf4B0xf5	0xc9dB0xdf4B0xf5
0xcb7B0xdf4B0xf5	0xcc8B0xdf4B0xf5
0x10daB0xca4B0xdf4B0xf5	0x10fcB0xca4B0xdf4B0xf5
0xc3bB0xdd3B0xf5	0xc47B0xdd3B0xf5
0xc11B0xdd3B0xf5	0xc2dB0xdd3B0xf5
0xc32B0xdd3B0xf5	0xc3bB0xdd3B0xf5
0xbf1B0xdd3B0xf5	0xbfeB0xdd3B0xf5
0x10daB0x1edbbB0xdd3B0xf5	0x10fcB0x1edbbB0xdd3B0xf5
0x10daB0xc4aB0xdd3B0xf5	0x10fcB0xc4aB0xdd3B0xf5
0x11d1B0xc53B0xdd3B0xf5	0x11e2B0xc53B0xdd3B0xf5
0x110bB0xc01B0xdd3B0xf5	0x111eB0xc01B0xdd3B0xf5
0xe7eB0x108	0xe8fB0x108
0xe92B0x108	0xea6B0x108
0xea9B0x108	0xeb9B0x108
0xeccB0x108	0xee8B0x108
0xf16B0x108	0xf29B0x108
0xeefB0x108	0xef8B0x108
0xf38B0x108	0xf4aB0x108
0x10daB0x1ee61B0x108	0x10fcB0x1ee61B0x108
0x11d1B0xef8B0x108	0x11e2B0xef8B0x108
0x110bB0xebcB0x108	0x111eB0xebcB0x108
0xc3bB0xf2cB0x108	0xc47B0xf2cB0x108
0xc11B0xf2cB0x108	0xc2dB0xf2cB0x108
0xc32B0xf2cB0x108	0xc3bB0xf2cB0x108
0xbf1B0xf2cB0x108	0xbfeB0xf2cB0x108
0x10daB0x1edbbB0xf2cB0x108	0x10fcB0x1edbbB0xf2cB0x108
0x10daB0xc4aB0xf2cB0x108	0x10fcB0xc4aB0xf2cB0x108
0x11d1B0xc53B0xf2cB0x108	0x11e2B0xc53B0xf2cB0x108
0x110bB0xc01B0xf2cB0x108	0x111eB0xc01B0xf2cB0x108
0xbbbB0xf4dB0x108	0xbc4B0xf4dB0x108
0xb8aB0xf4dB0x108	0xb97B0xf4dB0x108
0x10daB0x1ed6bB0xf4dB0x108	0x10fcB0x1ed6bB0xf4dB0x108
0xc7aB0xbc4B0xf4dB0x108	0xc87B0xbc4B0xf4dB0x108
0xc8aB0xbc4B0xf4dB0x108	0xc9dB0xbc4B0xf4dB0x108
0xcb7B0xbc4B0xf4dB0x108	0xcc8B0xbc4B0xf4dB0x108
0x10daB0xca4B0xbc4B0xf4dB0x108	0x10fcB0xca4B0xbc4B0xf4dB0x108
0x110bB0xb9aB0xf4dB0x108	0x111eB0xb9aB0xf4dB0x108
0x410B0x103	0x41eB0x103
0x4e2B0x103	0x4f1B0x103
0x3f2B0x103	0x404B0x103
0x433B0x103	0x44aB0x103
0x406B0x103	0x410B0x103
0x558B0x103	0x580B0x103
0x506B0x103	0x51dB0x103
0x4d8B0x103	0x4e2B0x103
0x98b0x3f2B0x103	0x9960x3f2B0x103
0x9710x3f2B0x103	0x9870x3f2B0x103
0x9060x3f2B0x103	0x9110x3f2B0x103
0x8b70x3f2B0x103	0x9020x3f2B0x103
0xf64B0x91a0x3f2B0x103	0xf72B0x91a0x3f2B0x103
0xf75B0x91a0x3f2B0x103	0xf81B0x91a0x3f2B0x103
0x106cB0x482B0x103	0x1075B0x482B0x103
0x1179B0xfa3B0x109aB0x482B0x103	0x1182B0xfa3B0x109aB0x482B0x103
0x1161B0xfa3B0x109aB0x482B0x103	0x116aB0xfa3B0x109aB0x482B0x103
0x1179B0xfa3B0xfebB0x93e0x3f2B0x103	0x1182B0xfa3B0xfebB0x93e0x3f2B0x103
0x1161B0xfa3B0xfebB0x93e0x3f2B0x103	0x116aB0xfa3B0xfebB0x93e0x3f2B0x103
0x5bcB0x116	0x5c9B0x116
0x5deB0x116	0x5f1B0x116
0x606B0x116	0x61dB0x116
0x632B0x116	0x649B0x116
0x5b2B0x116	0x5bcB0x116
0x77b0x5afB0x116	0x7970x5afB0x116
0x6940x5afB0x116	0x6be0x5afB0x116
0x6830x5afB0x116	0x6940x5afB0x116
0x1179B0xfcfB0x71f0x5afB0x116	0x1182B0xfcfB0x71f0x5afB0x116
0x1161B0xfcfB0x71f0x5afB0x116	0x116aB0xfcfB0x71f0x5afB0x116
0x1179B0xfa3B0x101eB0x7c40x5afB0x116	0x1182B0xfa3B0x101eB0x7c40x5afB0x116
0x1161B0xfa3B0x101eB0x7c40x5afB0x116	0x116aB0xfa3B0x101eB0x7c40x5afB0x116
